功能点,内容
10月,
AI生成PPT-不支持-生成演讲者备注,ppt中的wps ai 没有【AI生成演讲备注】功能
AI生成PPT-不支持-生成演讲者备注,您好如何使用ppt生成演讲稿
AI生成PPT-不支持-生成演讲者备注,1、为什么windows版本有PPT智能校对，AI演讲视频这些功能，mac版本没有，这样对我们付费很不公平。 2、建议优化整体AI应用检查范围。我有使用灵犀提示词来做检查，整体效果还是很惊艳，除了你们现有的针对文件可以拆解很清楚文字、样式外，针对备注有做检查，同时针对备注上下文。
AI生成PPT-不支持-生成演讲者备注,购买WPS会员但是不能一键AI生成备注
AI生成PPT-不支持-生成演讲者备注,生成全文演讲者备注
AI生成PPT-不支持-生成演讲者备注,MAC端PPT里没有AI生成演讲稿功能
AI生成PPT-不支持-生成演讲者备注,PPT的AI备注功能取消了吗
AI生成PPT-不支持-生成演讲者备注,①用户在苹果电脑上使用WPS时，发现缺少AI生成演讲者备注功能，而在Windows电脑上该功能也未找到，尽管已从官网下载最新版本。总结：用户在不同操作系统上均未找到预期的AI功能。②复现操作：用户在苹果电脑和Windows电脑上打开WPS，尝试寻找AI生成演讲者备注功能。③用户最终需要解决的问题是：在苹果电脑和Windows电脑上都能正常使用WPS的AI生成演讲者备注功能。
AI生成PPT-不支持-生成演讲者备注,①现象(用户原话+总结):客户购买了WPS大会员，但在PPT界面未找到AI演讲功能，同事的Windows系统也未发现该功能。②复现操作(具体步骤):客户尝试在PPT中寻找AI演讲功能，但未找到相关按钮。③用户最终需要解决什么问题？(要求:必须总结):客户希望了解如何在WPSPPT中启用AI演讲功能，特别是在苹果电脑上。
AI生成PPT-不支持-生成演讲者备注,客户在Windows系统下可以使用WPS的AI一键生成演讲稿功能，但在切换至Mac系统后发现该功能缺失。
AI-生成演讲者备注-不可用-导出失败,不能导出
AI-生成演讲者备注-入口,AI生成讲稿功能，换了一台电脑就没有了，不知道怎么调出来
AI-生成演讲者备注-不可用-导出失败,怎么不能导出
AI-演讲者备注-支持生成英文,PPT是英文的，生成的演讲稿还是英文的。明明都可以做全英文PPT了，希望这一点能改进过来
AI-生成演讲者备注-入口,我开通了会员，但是没有AI演讲稿功能
AI-生成演讲者备注-不可用-未知,今天一直反馈说后台出问题，不能生成讲稿
AI-生成演讲者备注-入口,对于WPSAI，少了AI演讲稿，少了AI生成封面，少了AI检查校队
AI-演讲者备注-支持生成英文,能不能增加英文生成演讲稿
AI-生成演讲者备注-不可用-未知,ai演讲稿生成时显示服务异常，怎么解决
AI-生成演讲者备注-入口,win7电脑，PPT里面没有AI演讲者的按钮了
AI-生成演讲者备注-不可用-未知,无法在ppt中使用ai的演讲稿功能
AI-演讲者备注-效果不满意-不符合用户预期,ppt里面如果是插入了表格，表格内的内容ai是不会去读取的。
AI-演讲者备注-效果不满意-不符合用户预期,专业知识内容，不需要比喻的手法。例如：像明灯一样
AI-生成演讲者备注-不可用-未知,一直中断
AI-生成演讲者备注-入口,客户询问关于根据PPT生成逐字稿的功能，但发现WPS当前AI功能中并无此直接功能。
AI-生成演讲者备注-入口,①现象(用户原话+总结):客户反映在WPSPPT中无法找到AI演讲稿功能，与同事的功能差异明显，仅有AI生成单页、多页和图片功能。(总结:客户在WPSPPT中缺少AI演讲稿功能);②复现操作(具体步骤):打开PPT，寻找AI相关功能，发现缺少AI演讲稿功能;③用户最终需要解决什么问题？(总结):客户需要解决WPSPPT中缺失AI演讲稿功能的问题。
AI-生成演讲者备注,①现象(用户原话：我使用AI生成演讲稿功能，生成到一半就告诉我服务器错误；总结：用户在使用AI生成演讲稿功能时遇到服务器错误中断问题)；②复现操作(用户尝试了三次，每次在生成演讲稿过程中均出现服务器错误)③用户最终需要解决的问题是AI生成演讲稿功能频繁出现的服务器错误。
AI-生成演讲者备注,①现象(用户原话：AI演讲稿的功能没有；总结：用户无法找到AI演讲稿功能)；②复现操作(具体步骤：未提及)③用户最终需要解决什么问题？(总结：用户需要解决无法使用AI演讲稿功能的问题)
AI-生成演讲者备注-入口,ai演讲稿没有
AI-演讲者备注-希望支持导入文档,如何把已经有发言稿，一键导入到已经制作好的PPT各个片中
AI-AI生成演讲者备注-效果不满意-内容不精简,我是要拿着这个课件去做汇报用，给我出一份汇报稿，时间控制在2.5小时以内。目前的演讲稿废话太多了，也没有抓到重点。
AI生成PPT-不支持-生成演讲者备注,为什么MAC版本没有AI演讲稿功能？
AI生成PPT-不支持-生成演讲者备注,为什么生成ppt全文备注的功能没有了，刚充的大会员，不行就给我退了
AI生成PPT-不支持-生成演讲者备注,①现象(用户原话：“wps ai生成ppt全文演讲稿的功能呢，我刚充了两年大会员，现在新版本上没有这个功能”)；②复现操作(用户使用Mac系统打开最新版WPS，发现AI生成PPT全文演讲稿功能缺失) ③用户最终需要解决什么问题？(用户需要找回AI生成PPT全文演讲稿功能，或因功能缺失要求退款)
AI-演讲者备注-支持生成英文,可以给个语言的备注，比如我要生成英语的演讲稿，但是这里没有选项，只能生成中文的，那我还得翻译
AI-演讲者备注-效果不满意-不符合用户预期,内容太水了，都是套话，没意义啊
AI-演讲者备注-生成不完整,AI演讲稿只能支持前几页就自动断了，怎么处理
AI-生成演讲者备注-不可用-导出失败,为社么不能导出
AI-生成演讲者备注-不可用-未知,为什么有些内容识别不了
AI-生成演讲者备注-不可用-导出失败,导出失败
AI-生成演讲者备注-不可用-未知,我的AI无法使用AI演讲稿
AI-演讲者备注-生成不完整,不能完全生成，几张后就消失了
AI-演讲者备注-生成不完整,只生成了3页，讲稿，我选的是全文
AI-演讲者备注-效果不满意-不符合用户预期,PPT的AI演讲稿每一页之间没有连贯性，总结能力不强，无法突出重点，幽默风格的演讲稿语言模型太低级，没有任何幽默可言
AI-演讲者备注-支持生成英文,能否生成英文演讲稿呢？原来的PPT就是全英文的
AI-演讲者备注-支持生成英文,演讲稿生成最好能有英文的
AI生成PPT-不支持-生成演讲者备注,AI生成ppt演讲稿这个功能macbook是还没上线吗？
AI-生成演讲者备注-入口,我的WPS为什么没有AI演讲稿了
AI-演讲者备注-好评,非常实用，非常方便，谢谢你们，希望你们再接再厉，继续开发更好的东西
AI-生成演讲者备注-不可用-未知,无法解析
AI-AI生成演讲者备注-效果不满意-内容过于官方,一般般，不太行，太生硬了
AI-AI生成演讲者备注-效果不满意-内容不精简,能否把演讲稿镜减到5分钟
AI-生成演讲者备注-不可用-导出失败,内容无法导出
AI-生成演讲者备注-入口,找不到AI演讲稿
AI-演讲者备注-支持生成英文,ppt是英文，为什么生成的演讲稿默认中文？需要怎么调整设置吗
AI-演讲者备注-支持生成英文,都是英文PPT的，怎么输出中文的演讲稿
AI-生成演讲者备注-入口,没有AI演讲稿功能
AI-生成演讲者备注-不可用-未知,①现象(用户原话+总结)：客户在使用WPS AI演讲稿生成功能时，文稿生成过程中突然中断，显示“解析错误，请尝试调试内容”。②复现操作(具体步骤)：客户尝试使用WPS AI生成演讲稿。③用户最终需要解决什么问题？客户需要解决AI演讲稿生成功能在生成过程中突然中断并提示解析错误的问题。
AI-生成演讲者备注-入口,客户发现当前WPS版本缺少PPT演讲备注生成的功能，而该功能在试用版中存在，疑似因版本不同导致功能缺失。
AI-生成演讲者备注-不可用-403000004,①现象(用户原话+总结): 客户在使用AI生成PPT演讲稿时，生成到第四页出现“部分内容无法解析，请尝试调整内容40300004”的错误提示。②复现操作(具体步骤): 无。③用户最终需要解决什么问题？(要求:必须总结): 用户需要解决AI生成PPT时遇到的错误代码40300004，使AI生成PPT功能正常工作。
AI-生成演讲者备注-不可用-403000004,客户想要使用AI生成演讲稿并将其对应到PPT页面，但在尝试后收到部分内容无法解析的提示，询问如何解决并了解会员购买信息。
AI-演讲者备注-支持生成英文,AI演讲稿为什么不能直接朗诵我备注的英文备注，而且我PPT全英文，给我生成中文讲解视频有啥用
AI-生成演讲者备注,①现象(用户原话：“我点击wps ai，怎么没有ai演讲稿之类的能力？”+总结：用户点击WPS AI后，期望的功能如AI演讲稿未出现)；②复现操作(具体步骤：点击wps ai) ③用户最终需要解决的问题：希望获得WPS AI中的AI演讲稿等功能。
AI-生成演讲者备注,①现象(WPS PPT没有ai演讲稿功能+用户发现WPS PPT缺少特定功能)；②复现操作(无具体步骤提及) ③用户最终需要解决WPS PPT缺少ai演讲稿功能的问题，需更新至最新版本。
AI-演讲者备注-好评,AI的嵌入式真的太厉害了我在用WPS写研讨ppt我看备注的旁边有个ai生成演讲稿我试着点了一下给新用户三天免费的权限然后点击生成演讲稿太厉害了直接生成了一整篇然后它有两个选择一个是直接插入到每页的备注那里一个选择是生成整篇文稿导出我选了第一个直接生成到每页的备注并且我一对一都念...全文
AI-生成演讲者备注-不可用-导出失败,根本导不出成文档，好垃圾
AI-演讲者备注-支持AI修改,功能建议：AI生成PPT时，加入版本回退。因为：让AI修改配套的演讲稿时，AI会直接修改PPT而非演讲稿，导致原本效果不错的PPT被改动了，而且无法版本回退。手机号同微信，请务必向我回馈我的反馈进度。
AI-生成演讲者备注-不可用-导出失败,导出失败
AI生成PPT-不支持-生成演讲者备注,为什么没有AI 演讲稿 这一功能
AI生成PPT-不支持-生成演讲者备注,mac系统的ai功能缺失！！我要ppt里有【ai演讲稿功能】！！！！！！！！快点适配！！！！！！
AI生成PPT-不支持-生成演讲者备注,用户发现无法使用PPT AI功能生成演讲稿，该功能在WPS的下拉菜单中消失，尽管之前在苹果电脑上可以正常使用。
AI生成PPT-不支持-生成演讲者备注,PPT AI演讲稿 找不到入口
AI生成PPT-不支持-生成演讲者备注,客户询问mac版本的WPS是否支持Ai演讲稿功能，发现没有该功能。
AI生成PPT-不支持-生成演讲者备注,wps什么时候给macbook适配【PPT自动AI演讲稿】功能@WPS官方微博
11月,
AI-演讲者备注-支持生成英文,只会中文
AI-演讲者备注-效果不满意-不符合用户预期,一共十页啊
AI-演讲者备注-支持生成英文,怎么更改输出的语言例如英文
AI-生成演讲者备注-不可用-导出失败,无法下载
AI-生成演讲者备注-不可用-未知,全文生成为什么总是报错
AI-演讲者备注-效果不满意-不符合用户预期,删不掉还难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用难用！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
AI-AI生成演讲者备注-效果不满意-内容不精简,描述简洁扼要
AI-生成演讲者备注-不可用-未知,显示解析错误，无法生成演讲稿
AI-生成演讲者备注-不可用-导出失败,导出为文档失败
AI-演讲者备注-生成不完整,不能完整的把PPT所有页全部生成演讲稿，而且具体问题没有任何提示
AI-生成演讲者备注-不可用-导出失败,无法导出文件
AI-演讲者备注-部分内容无法解析,部分内容无法解析
AI-生成演讲者备注-不可用-导出失败,不能导出到文档
AI-AI生成演讲者备注-效果不满意-内容不精简,演讲稿需要再短一点
AI-演讲者备注-支持生成英文,无法生成英文演讲稿
AI-演讲者备注-部分内容无法解析,总是部分内容无法解析是什么意思
AI-演讲者备注-效果不满意-不符合用户预期,分辨率不适配
AI-生成演讲者备注-不可用-403000004,ai无法生成演讲稿，报错
12月,
AI演讲稿,创意很好，内容生成太水
AI演讲稿,缺乏通篇理解能力，面面俱到却又缺乏重点，没有前后逻辑递进的理解能力
AI演讲稿,太过于公式化和书面语，没有理解PPT内容和核心，没有能用的
AI演讲稿,无法根据图片版的PPT生成演讲稿。
AI演讲稿,无法识别图片中的文字，进行写稿，有些页面只有一张图片。比如流程图图片。
AI演讲稿,不准啊也，顺序也不对
AI 演讲稿,为什么会一直导出失败
AI 演讲稿,无法生成从第23页开始
AI演讲稿,建议可以加入参考文档，智能识别标签页标题页
AI演讲稿,无法生成演讲稿
AI演讲稿,生成的内容套话、空话太多，没有泵的技术发展的核心技术阐述、没有行业头部企业信息、没有国际国内领先的产品性能数据、没有产品具体市场货行业的具体数据。希望重新生成
AI演讲稿,我已经有了wpsai权限，为什么还不能导出文档
AI演讲稿,无法导出，一直在加载
AI演讲稿,演讲稿下载不了啊，不让我点这个下载的按钮
AI演讲稿,如何生成英文版的演讲稿
AI演讲稿,不够智能，不能表达中心意思，很多图片只是描述图片里的内容，没有分析图片之间的关系
AI演讲稿,无法导出为文档
AI演讲稿,之前生成过，关闭了之后，又要重新生成吗？算多次使用。而且也看不到之前生成的
AI演讲稿,只能生成中文的演讲稿，要求能够生成英文的
AI演讲稿,不可以删除并重新生成
AI演讲稿,太傻了
AI演讲稿,不能用
AI演讲稿,要给一个自己编写需求的窗口，不然出来的文稿都用不了
AI演讲稿,下载的演讲稿存哪儿了
AI演讲稿,部分内容无法解析，无法生成
AI演讲稿,我已经有了一个word，这个word里有很多图片，每张图片下面有对应的说明，想用wps的ai转成ppt，我希望生成的ppt能让每页放四张图，每张图下有对应的说明，但是ai生成的ppt里只放了个别图片，很多图片没放进去
AI演讲稿,AI功能无法用啊。退货
AI演讲稿,功能太弱了
AI演讲稿,刚买的大会员，插入和导出备注都失败
AI演讲稿,无法导出文档
AI演讲稿,备注太啰嗦、太用力了，像写文章，不利于演讲时的提示作用
AI演讲稿,生成演讲稿后无法导出。
AI演讲稿,要能够结合我自己的讲解和ai的内容进行修改就好了
AI演讲稿,部分页面无法生成AI演讲稿时，应设置重新生成或跳过选项，而不是只有一页无法解析就导致所有页都不能AI。
AI演讲稿,很拉，没用
AI演讲稿,建议可选择生成英文的演讲稿
AI演讲稿,前面几页没有根据内容进行分析总结，不能去讲概念
AI演讲稿,英语PPT没有英文版
AI演讲稿,太浮于表面了，不自然，不像是正常的演讲语言，一眼人机；另外内容非常浅层，PPT中想表达的实际内容基本上不提，只是讲一些浮于表面的废话。
AI演讲稿,咋这玩意一直无法导出？
AI演讲稿,可以自定义回报的时间吗?可以选择汇报人身份吗？
AI演讲稿,一直提示部分内容无法解析，请尝试调整内容(403000004)
AI 演讲稿,ppt全部生成演讲稿会退出，单张ppt却可以。建议全部生成不能生成的空开，让其他ppt继续生成，而不要退出。
1月,
AI演讲稿,连最基础的专业名词都翻译错了，希望以后应该使用deepseek进行生成，自研AI还是跟不上主流
AI演讲稿,制作AI视频，始终停在最后一分钟，无法完成制作
AI演讲稿,反馈出现错误
AI演讲稿,导出做文档点击没有反应
AI演讲稿,导出文档失败
AI演讲稿,AI会员不能导入演讲稿到ppt里
AI演讲稿,全英文的PPT，输出的AI演讲稿为什么是中文的，应该是输出英文的
AI演讲稿,请把每页字数控制在70个字左右
AI演讲稿,识别不了图片
